id,x,y,z,colorb_v,lum,absmag,appmag,texnum,distly,dcalc,plx,plxerr,vx,vy,vz,speed,hipnum,name
15718,-111.3215,-28.7616,-102.5764,-0.03,118.44333,-0.46,5.48,1,502.31,1,6.49,14.02,-12.941,-7.796,-12.704,19.739,18141,HIP18141 HD24388 Gli 30Eri 
11413,-37.702,-62.7711,-145.478,0.991,132.33151,-0.58,5.48,1,530.94,1,6.14,10.1,1.474,-33.948,-41.89,53.939,13265,HIP13265 HD17829 Gli Eta3 For 
61960,-12.4764,82.9016,106.4532,1.086,91.59827,-0.18,5.48,1,441.73,1,7.38,6.5,-115.529,-22.482,-11.52,118.259,72664,HIP72664 HD131507 Gli  
52368,20.8122,-43.3319,64.1875,0.021,32.08242,0.96,5.48,1,261.43,1,12.47,6.5,-30.293,-10.266,-11.203,33.89,61318,HIP61318 HD109309 Gli 21Vir 
87590,17.8328,227.6097,1.2253,0.902,260.04697,-1.31,5.48,1,744.29,1,4.38,14.16,-4.5,-23.773,-10.339,26.312,103094,HIP103094 HD199098 Gli  
9671,-118.2448,50.1251,-132.9381,-0.056,170.45334,-0.85,5.48,1,602.59,1,5.41,19.22,-12.988,-16.126,-4.641,21.219,11249,HIP11249 HD14951 Gli Xi Ari 
15975,-375.7122,133.2782,-99.2,-0.211,834.21564,-2.58,5.49,1,1339.23,2,3.36,22.62,-22.004,-1.167,-6.983,23.115,18434,HIP18434 HD24640 Gli  
52723,1.3206,-10.1337,87.1995,0.86,38.10242,0.77,5.49,1,286.22,1,11.39,9.22,-26.703,-17.686,-20.405,37.976,61724,HIP61724 HD110024 Gli 26Com 
52213,227.2036,-387.011,26.2793,0.396,998.95099,-2.77,5.49,1,1465.51,2,1.94,29.38,-30.904,-3.668,-4.934,31.51,61136,HIP61136 HD108968 Gli  
99805,1.2922,42.9161,-78.3756,0.82,39.47662,0.73,5.49,1,291.33,1,11.19,7.6,-37.49,-20.426,-1.79,42.731,117375,HIP117375 HD223252 Gli 20Psc 
42988,-41.5925,-15.1092,65.3543,0.021,30.79263,1,5.49,1,257.3,1,12.67,5.92,-31.299,-16.771,2.073,35.57,50303,HIP50303 HD88960 Gli 23LMi 
67930,12.2068,1.0027,6.8334,0.571,0.97235,4.76,5.49,1,45.72,1,71.3,1.25,46.042,-4.082,-4.3,46.422,79672,HIP79672 HD146233 Gli 18Sco 
93590,20.8887,-22.7474,-22.924,0.342,7.31229,2.56,5.49,1,125.38,1,26,2,13.71,-7.181,-5.111,16.298,110078,HIP110078 HD210853 Gli Psi Oct 
